"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2005","2005","-","National - all residential properties","Base Jan 2005 = 100","105.5"
"HPA06C01","Residential Property Price Index","2005","2005","01","National - houses","Base Jan 2005 = 100","105.9"
"HPA06C01","Residential Property Price Index","2005","2005","02","National - apartments","Base Jan 2005 = 100","102.1"
"HPA06C01","Residential Property Price Index","2005","2005","05","Dublin - all residential properties","Base Jan 2005 = 100","106.9"
"HPA06C01","Residential Property Price Index","2005","2005","06","Dublin - houses","Base Jan 2005 = 100","107.5"
"HPA06C01","Residential Property Price Index","2005","2005","07","Dublin - apartments","Base Jan 2005 = 100","105.3"
"HPA06C01","Residential Property Price Index","2005","2005","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","104.7"
"HPA06C01","Residential Property Price Index","2005","2005","04","National excluding Dublin - houses","Base Jan 2005 = 100","105.2"
"HPA06C01","Residential Property Price Index","2005","2005","12","National excluding Dublin - apartments","Base Jan 2005 = 100","96.9"
"HPA06C01","Residential Property Price Index","2006","2006","-","National - all residential properties","Base Jan 2005 = 100","121.2"
"HPA06C01","Residential Property Price Index","2006","2006","01","National - houses","Base Jan 2005 = 100","122"
"HPA06C01","Residential Property Price Index","2006","2006","02","National - apartments","Base Jan 2005 = 100","116.3"
"HPA06C01","Residential Property Price Index","2006","2006","05","Dublin - all residential properties","Base Jan 2005 = 100","126.2"
"HPA06C01","Residential Property Price Index","2006","2006","06","Dublin - houses","Base Jan 2005 = 100","128.7"
"HPA06C01","Residential Property Price Index","2006","2006","07","Dublin - apartments","Base Jan 2005 = 100","118.9"
"HPA06C01","Residential Property Price Index","2006","2006","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","118.4"
"HPA06C01","Residential Property Price Index","2006","2006","04","National excluding Dublin - houses","Base Jan 2005 = 100","118.9"
"HPA06C01","Residential Property Price Index","2006","2006","12","National excluding Dublin - apartments","Base Jan 2005 = 100","111.7"
