Year,Region,PropertyType,PriceIndex,YoY_Growth_Pct
2010,Border (ex-Louth),houses,89.3,
2011,Border (ex-Louth),houses,74.8,-16.24
2012,Border (ex-Louth),houses,59.3,-20.72
2013,Border (ex-Louth),houses,50.3,-15.18
2014,Border (ex-Louth),houses,50.6,0.6
2015,Border (ex-Louth),houses,56.2,11.07
2016,Border (ex-Louth),houses,61.3,9.07
2017,Border (ex-Louth),houses,67.9,10.77
2018,Border (ex-Louth),houses,72.7,7.07
2019,Border (ex-Louth),houses,80.0,10.04
2020,Border (ex-Louth),houses,80.3,0.37
2021,Border (ex-Louth),houses,91.3,13.7
2022,Border (ex-Louth),houses,107.7,17.96
2023,Border (ex-Louth),houses,113.0,4.92
2024,Border (ex-Louth),houses,123.6,9.38
2025,Border (ex-Louth),houses,134.7,8.98
2005,Dublin,all residential properties,106.9,
2006,Dublin,all residential properties,126.2,18.05
2007,Dublin,all residential properties,133.2,5.55
2008,Dublin,all residential properties,121.0,-9.16
2009,Dublin,all residential properties,91.4,-24.46
2010,Dublin,all residential properties,75.9,-16.96
2011,Dublin,all residential properties,63.7,-16.07
2012,Dublin,all residential properties,56.3,-11.62
2013,Dublin,all residential properties,61.8,9.77
2014,Dublin,all residential properties,76.7,24.11
2015,Dublin,all residential properties,84.4,10.04
2016,Dublin,all residential properties,88.7,5.09
2017,Dublin,all residential properties,97.1,9.47
2018,Dublin,all residential properties,105.4,8.55
2019,Dublin,all residential properties,105.4,0.0
2020,Dublin,all residential properties,104.8,-0.57
2021,Dublin,all residential properties,112.5,7.35
2022,Dublin,all residential properties,124.0,10.22
2023,Dublin,all residential properties,124.8,0.65
2024,Dublin,all residential properties,135.6,8.65
2025,Dublin,all residential properties,143.9,6.12
2005,Dublin,apartments,105.3,
2006,Dublin,apartments,118.9,12.92
2007,Dublin,apartments,124.2,4.46
2008,Dublin,apartments,111.8,-9.98
2009,Dublin,apartments,81.3,-27.28
2010,Dublin,apartments,67.0,-17.59
2011,Dublin,apartments,56.9,-15.07
2012,Dublin,apartments,47.1,-17.22
2013,Dublin,apartments,49.4,4.88
2014,Dublin,apartments,62.2,25.91
2015,Dublin,apartments,69.5,11.74
2016,Dublin,apartments,73.7,6.04
2017,Dublin,apartments,80.9,9.77
2018,Dublin,apartments,89.5,10.63
2019,Dublin,apartments,89.8,0.34
2020,Dublin,apartments,90.6,0.89
2021,Dublin,apartments,94.7,4.53
2022,Dublin,apartments,104.0,9.82
2023,Dublin,apartments,105.3,1.25
2024,Dublin,apartments,112.6,6.93
2025,Dublin,apartments,119.7,6.31
2005,Dublin,houses,107.5,
2006,Dublin,houses,128.7,19.72
2007,Dublin,houses,136.3,5.91
2008,Dublin,houses,125.0,-8.29
2009,Dublin,houses,95.7,-23.44
2010,Dublin,houses,79.7,-16.72
2011,Dublin,houses,66.8,-16.19
2012,Dublin,houses,59.5,-10.93
2013,Dublin,houses,65.8,10.59
2014,Dublin,houses,81.4,23.71
2015,Dublin,houses,89.3,9.71
2016,Dublin,houses,93.5,4.7
2017,Dublin,houses,102.3,9.41
2018,Dublin,houses,110.7,8.21
2019,Dublin,houses,110.6,-0.09
2020,Dublin,houses,110.1,-0.45
2021,Dublin,houses,118.8,7.9
2022,Dublin,houses,131.1,10.35
2023,Dublin,houses,131.7,0.46
2024,Dublin,houses,143.7,9.11
2025,Dublin,houses,152.4,6.05
2010,Dublin City,houses,77.1,
2011,Dublin City,houses,65.6,-14.92
2012,Dublin City,houses,55.7,-15.09
2013,Dublin City,houses,62.3,11.85
2014,Dublin City,houses,80.5,29.21
2015,Dublin City,houses,90.1,11.93
2016,Dublin City,houses,93.2,3.44
2017,Dublin City,houses,103.3,10.84
2018,Dublin City,houses,113.5,9.87
2019,Dublin City,houses,113.1,-0.35
2020,Dublin City,houses,110.5,-2.3
2021,Dublin City,houses,120.0,8.6
2022,Dublin City,houses,132.7,10.58
2023,Dublin City,houses,130.4,-1.73
2024,Dublin City,houses,143.8,10.28
2025,Dublin City,houses,153.5,6.75
2010,Dun Laoghaire-Rathdown,houses,79.9,
2011,Dun Laoghaire-Rathdown,houses,64.8,-18.9
2012,Dun Laoghaire-Rathdown,houses,58.7,-9.41
2013,Dun Laoghaire-Rathdown,houses,68.9,17.38
2014,Dun Laoghaire-Rathdown,houses,83.6,21.34
2015,Dun Laoghaire-Rathdown,houses,89.1,6.58
2016,Dun Laoghaire-Rathdown,houses,94.4,5.95
2017,Dun Laoghaire-Rathdown,houses,103.0,9.11
2018,Dun Laoghaire-Rathdown,houses,112.2,8.93
2019,Dun Laoghaire-Rathdown,houses,108.4,-3.39
2020,Dun Laoghaire-Rathdown,houses,107.3,-1.01
2021,Dun Laoghaire-Rathdown,houses,116.6,8.67
2022,Dun Laoghaire-Rathdown,houses,127.6,9.43
2023,Dun Laoghaire-Rathdown,houses,127.0,-0.47
2024,Dun Laoghaire-Rathdown,houses,136.2,7.24
2025,Dun Laoghaire-Rathdown,houses,143.1,5.07
2010,Fingal,houses,78.3,
2011,Fingal,houses,69.2,-11.62
2012,Fingal,houses,59.8,-13.58
2013,Fingal,houses,63.3,5.85
2014,Fingal,houses,74.5,17.69
2015,Fingal,houses,85.9,15.3
2016,Fingal,houses,88.7,3.26
2017,Fingal,houses,94.5,6.54
2018,Fingal,houses,102.9,8.89
2019,Fingal,houses,104.4,1.46
2020,Fingal,houses,106.8,2.3
2021,Fingal,houses,112.7,5.52
2022,Fingal,houses,124.9,10.83
2023,Fingal,houses,128.0,2.48
2024,Fingal,houses,139.9,9.3
